,formatted_address,latitude,longitude,input_string,number_of_results,status,accuracy,google_place_id,type,postcode
0,"North West Island, Queensland 4805, Australia",-23.2950882,151.7078724,North West Island,1,OK,,,,
1,,,,Amitié Beach,0,ZERO_RESULTS,,,,
2,"Nahoon Beach, East London, 5210, South Africa",-32.9859684,27.9446709,"Nahoon Beach, East London",1,OK,,,,
3,"Santa Rosa Island, California, USA",33.9773487,-120.0896313,"Santa Rosa Island, Ventura County",1,OK,,,,
4,"Shellharbour NSW 2529, Australia",-34.583333,150.866667,Shellharbour,1,OK,,,,
5,"1350 Spring St NW #1, Atlanta, GA 30309, USA",33.791638,-84.389488,,1,OK,,,,
6,"Exmouth, UK",50.619957,-3.413702,Exmouth,1,OK,,,,
7,"2126 Iliili Rd, Kihei, HI 96753, USA",20.7272159,-156.4499316,"Cove Park, Kihei, Maui",1,OK,,,,
8,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
9,"Bargara QLD 4670, Australia",-24.8312314,152.4592208,Bargara,1,OK,,,,
10,"Elliott Heads QLD 4670, Australia",-24.916667,152.483333,"Elliot Head, near Bundaberg.",1,OK,,,,
11,"Barra Vieja, Guerrero, Mexico",16.6913888,-99.6266666,Off Barra Vieja,1,OK,,,,
12,"Haifa, Israel",32.7940463,34.989571,Haifa,1,OK,,,,
13,"Lagoonarium de Moorea, Moorea-Maiao, French Polynesia",-17.5462954,-149.7810142,Afareitu Lagoonarium.,1,OK,,,,
14,"Cocoa Beach, FL 32931, USA",28.3200067,-80.6075513,"Cocoa Beach, Brevard  County",1,OK,,,,
15,"Magdalena Bay, Baja California Sur, Mexico",24.583333,-112.0,Magdalena Bay,1,OK,,,,
16,"East London, London, UK",51.55633,0.0655092,East London,1,OK,,,,
17,,,,L’Hermitage Lagoon,0,ZERO_RESULTS,,,,
18,"Airlie Beach QLD 4802, Australia",-20.2675,148.716944,"Off Airlie Beach, Whitsundays",1,OK,,,,
19,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
20,"'Ōpūnohu Bay, French Polynesia",-17.4927609,-149.855504,Opunohu Bay,1,OK,,,,
21,"Woorim Beach, Woorim QLD 4507, Australia",-27.0609079,153.2006374,"Woorim Beach, Bribie Island,",1,OK,,,,
22,"Fort Pierce, FL, USA",27.4467056,-80.3256056,"Fort Pierce, St. Lucie County",1,OK,,,,
23,"2611 Sheridan Rd, Central St, Evanston, IL 60201, USA",42.0638545,-87.67436390000002,Lighthouse Beach,1,OK,,,,
24,"Ship Rock, California 90704, USA",33.4625263,-118.4917455,"Ship Rock near Catalina, Los Angeles County",1,OK,,,,
25,"Talofofo Bay, Guam",13.32,144.796667,Talofofo Bay ,2,OK,,,,
26,"Nightcliff NT 0810, Australia",-12.3788974,130.842219,"Nightcliff Jetty, Darwin",1,OK,,,,
27,"S Kihei Rd, Hawaii 96753, USA",20.7406491,-156.4542466,"Kihei, South Maui",1,OK,,,,
28,"Huguenot Memorial Park, 10980 Heckscher Dr, Jacksonville, FL 32226, USA",30.4110088,-81.4204882,"Huguenot Park, Jacksonville, Duval County",1,OK,,,,
29,"Satellite Beach, FL, USA",28.1761233,-80.59005189999999,"Satellite Beach, Brevard County",1,OK,,,,
30,"Haleiwa, HI 96712, USA",21.5927614,-158.1034112,"Haleiwa, Oahu",1,OK,,,,
31,"Isle of Palms, SC, USA",32.8194131,-79.7343791,"Isle of Palms,  Charleston County",1,OK,,,,
32,"Burns Beach WA 6028, Australia",-31.7246872,115.7248959,"Burns Beach, Perth",1,OK,,,,
33,"Grand Cayman, Cayman Islands",19.3221698,-81.2408689,Grand Cayman,1,OK,,,,
34,"Jacksonville Beach, FL, USA",30.2841224,-81.3961338,"Jacksonville Beach, Duval County",1,OK,,,,
35,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
36,"Fort Lauderdale, FL, USA",26.1224386,-80.13731740000001,"Fort Lauderdale, Broward County",1,OK,,,,
37,"Napo'opo'o Park, 82-6003 Manini Beach Rd, Captain Cook, HI 96704, USA",19.4709665,-155.9210389,"Napoopoo Park in Kealakekua Bay, The Big Island",2,OK,,,,
38,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
39,"Mākaha Beach Park, 84-369 Farrington Hwy, Waianae, HI 96792, USA",21.4763581,-158.2203658,"Makaha Beach, Oahu",1,OK,,,,
40,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
41,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
42,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
43,"Key Biscayne, FL 33149, USA",25.693713,-80.1628248,Off Key Biscayne,1,OK,,,,
44,"Moloka‘i, Hawaii, USA",21.1443935,-157.0226297,Molokai Channel/,1,OK,,,,
45,"Cape Hatteras, Hatteras, NC, USA",35.24804,-75.5393155,"Off Cape Hatteras, Dare County",2,OK,,,,
46,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
47,"Magra Islet, Shelburne QLD 4874, Australia",-11.8573472,143.2815326,Magra Islet,1,OK,,,,
48,"New Smyrna Beach, FL, USA",29.0258191,-80.9269984,"New Smyrna Beach, Volusia County",1,OK,,,,
49,"Jacksonville Beach, FL, USA",30.2841224,-81.3961338,"Jacksonville Beach, Duval County",1,OK,,,,
50,"Moonstone Beach Rd, South Kingstown, RI 02879, USA",41.3865718,-71.57474549999999,"Moonstone Beach, South Kingstown, Washington County",1,OK,,,,
51,"Haulover Park, 10800 Collins Ave, Miami Beach, FL 33154, USA",25.9065987,-80.1244416,"Haulover Inlet, Miami-Dade County",1,OK,,,,
52,"Pitt Island, Chatham Islands, New Zealand",-44.2898582,-176.2260131,Pitt Island or Chatham Island,1,OK,,,,
53,"Sunset Beach, NC 28468, USA",33.880728,-78.512231,"Sunset Beach, Brunswick County",1,OK,,,,
54,"Amelia Island, Florida 32034, USA",30.6265697,-81.46085599999999,"Amelia Island, Nassau County",1,OK,,,,
55,"East Beach, Port Alfred, 6170, South Africa",-33.5977778,26.9052778,"East Beach, Port Alfred",1,OK,,,,
56,"Caloundra QLD 4551, Australia",-26.799,153.133,"Pelican Waters, Caloundra",1,OK,,,,
57,"Cabo Catoche, Quintana Roo, Mexico",21.6047222,-87.10305559999999,Cabo Catoche ,1,OK,,,,
58,"Great Guana Cay, The Bahamas",26.6766265,-77.12694379999999,Great Guana Cay,1,OK,,,,
